106	Customer#000000106	190241.3334	3288.42	ARGENTINA	xGCOEAUjUNG	11-751-989-4627	lose slyly. ironic accounts along the evenly regular theodolites wake about the special, final gifts. 
112	Customer#000000112	111137.7141	2953.35	ROMANIA	RcfgG3bO7QeCnfjqJT1	29-233-262-8382	rmanently unusual multipliers. blithely ruthless deposits are furiously along the
115	Customer#000000115	117130.5324	7508.92	INDIA	0WFt1IXENmUT2BgbsB0ShVKJZt0HCBCbFl0aHc	18-971-699-1843	sits haggle above the carefully ironic theodolite
121	Customer#000000121	282635.1719	6428.32	PERU	tv nCR2YKupGN73mQudO	27-411-990-2959	uriously stealthy ideas. carefully final courts use carefully
124	Customer#000000124	338922.9894	1842.49	CHINA	aTbyVAW5tCd,v09O	28-183-750-7809	le fluffily even dependencies. quietly s
13	Customer#000000013	243842.4906	3857.34	CANADA	nsXQu0oVjD7PM659uC3SRSp	13-761-547-5974	ounts sleep carefully after the close frays. carefully bold notornis use ironic requests. blithely
133	Customer#000000133	219295.37939999998	2314.67	PERU	IMCuXdpIvdkYO92kgDGuyHgojcUs88p	27-408-997-8430	t packages. express pinto beans are blithely along the unusual, even theodolites. silent packages use fu
142	Customer#000000142	121236.9314	2209.81	INDONESIA	AnJ5lxtLjioClr2khl9pb8NLxG2,	19-407-425-2584	. even, express theodolites upo
146	Customer#000000146	103265.98879999999	3328.68	CANADA	GdxkdXG9u7iyI1,,y5tq4ZyrcEy	13-835-723-3223	ffily regular dinos are slyly unusual requests. slyly specia
16	Customer#000000016	161422.0461	4681.03	IRAN	cYiaeMLZSMAOQ2 d0W,	20-781-609-3107	kly silent courts. thinly regular theodolites sleep fluffily after 
19	Customer#000000019	99306.0127	8914.71	CHINA	uc,3bHIx84H,wdrmLOjVsiqXCq2tr	28-396-526-5053	 nag. furiously careful packages are slyly at the accounts. furiously regular in
44	Customer#000000044	208689.3668	7315.94	MOZAMBIQUE	Oi,dOSPwDu4jo4x,,P85E0dmhZGvNtBwi	26-190-260-5375	r requests around the unusual, bold a
52	Customer#000000052	105285.8016	5630.28	IRAQ	7 QOqGqqSy9jfV51BC71jcHJSD0	21-186-284-5998	ic platelets use evenly even accounts. stealthy theodolites cajole furiou
61	Customer#000000061	143569.8379	1536.24	PERU	9kndve4EAJxhg3veF BfXr7AqOsT39o gtqjaYE	27-626-559-8599	egular packages shall have to impress along the 
62	Customer#000000062	106368.0153	595.61	GERMANY	upJK2Dnw13,	17-361-978-7059	kly special dolphins. pinto beans are slyly. quickly regular accounts are furiously a
71	Customer#000000071	129481.02450000001	-611.19	GERMANY	TlGalgdXWBmMV,6agLyWYDyIz9MKzcY8gl,w6t1B	17-710-812-5403	g courts across the regular, final pinto beans are blithely pending ac
79	Customer#000000079	112530.786	5121.28	MOROCCO	n5hH2ftkVRwW8idtD,BmM2	25-147-850-4166	es. packages haggle furiously. regular, special requests poach after the quickly express ideas. blithely pending re
82	Customer#000000082	126052.48099999999	9468.34	CHINA	zhG3EZbap4c992Gj3bK,3Ne,Xn	28-159-442-5305	s wake. bravely regular accounts are furiously. regula
89	Customer#000000089	121663.1243	1530.76	KENYA	dtR, y9JQWUO6FoJExyp8whOU	24-394-451-5404	counts are slyly beyond the slyly final accounts. quickly final ideas wake. r
97	Customer#000000097	252743.6996	2164.48	PERU	OApyejbhJG,0Iw3j rd1M	27-588-919-5638	haggle slyly. bold, special ideas are blithely above the thinly bold theo
